id;street_address;city;state;zipcode;type;mail_newsletter_subscription;mail_event_notification_subscription
1;compelling Multi-tiered Tasty;Reichelfort;harness Berkshire;intelligence Streamlined;Designer CFP;YES;EMPTY
2;AGP Granite;Strongsville;collaborative Investment XML;Decentralized Territory;Table online;YES;EMPTY
3;synergy JBOD;Rosahaven;Lead drive;Decentralized;experiences;YES;NO
4;Salad EXE open-source;North Deion;Cambridgeshire;Reverse-engineered Accountability unleash;collaboration;NO;NO
5;program capacitor scalable;Javonville;Wooden 24/365;leverage;Rubber Sausages ivory;NO;NO
6;Sleek;East Brittanyfort;Chips;Alabama architect Market;pink Tasty;NO;YES
7;Crossing firmware IB;Youngstown;Mexico explicit local;Operations supply-chains generating;Corporate payment;YES;EMPTY
8;bandwidth;Pittsfield;magenta JSON Sausages;Liaison Streets;Future Licensed;NO;EMPTY
9;auxiliary Liaison;Wilfredland;plum mesh;Rustic;analyzing;EMPTY;YES
10;connecting;Everett;Account;Soft Clothing Frozen;bluetooth;YES;NO
