id;email;type;email_newsletter_subscription;email_event_notification_subscription
1;Domingo34@hotmail.com;e-business;NO;NO
2;Monique_Tillman@gmail.com;Market grey;YES;YES
3;Jeffery.Bayer44@yahoo.com;Loop Computer;NO;NO
4;Yvonne.Bailey@yahoo.com;Profit-focused Wooden matrices;EMPTY;EMPTY
5;Zachery31@hotmail.com;redefine;YES;YES
6;Assunta_Kulas65@hotmail.com;Intuitive Islands SAS;YES;NO
7;Pierce.Olson@hotmail.com;Arkansas auxiliary;NO;NO
8;Ana46@gmail.com;Synchronised;YES;YES
9;Sonny23@yahoo.com;York;NO;EMPTY
10;Cordell19@gmail.com;Customer index;YES;YES
