id;email;type;email_newsletter_subscription;email_event_notification_subscription
1;Virgil_Weissnat11@hotmail.com;Dakota magenta;EMPTY;NO
2;Joana.Jenkins@hotmail.com;withdrawal Lodge;YES;NO
3;Gerald_Smith@yahoo.com;4th Direct;YES;NO
4;Felicia_Gerhold@yahoo.com;harness;YES;NO
5;Beau_Stanton@hotmail.com;Buckinghamshire Fresh;YES;EMPTY
6;Ernestina.Davis99@gmail.com;Chair scale Grenada;YES;EMPTY
7;Shaniya.Kshlerin@gmail.com;Investment;EMPTY;EMPTY
8;Percival_Lang@gmail.com;blue Money;YES;YES
9;Sammy19@yahoo.com;Swiss Home;NO;NO
10;Gillian_Balistreri78@yahoo.com;microchip Forward Litas;EMPTY;NO
