id;prefix;preferred_name;first_name;middle_name;last_name;suffix;name_tag;current_member;membership_start_date;membership_expiration_date;is_head_of_house;is_deceased
1;Alaska;utilize;Larue;National Ghana;Aufderhar;Cotton asymmetric;out-of-the-box;false;2021-05-15;2021-05-15;false;true
2;interactive Accounts hack;Handcrafted Investor Wyoming;Odessa;deposit Sausages;Gusikowski;Metrics Dale;Sausages Buckinghamshire;false;2021-05-14;2021-05-14;true;true
3;cyan CFA;Security Avon;Julius;Burundi;Emmerich;green primary Communications;dedicated array;true;2021-05-14;2021-05-14;true;true
4;Kids payment Fish;bypass Corporate;Amani;Credit;Bosco;Credit Gorgeous synergies;Shilling;false;2021-05-14;2021-05-14;false;false
5;Switchable;Manager;Betsy;Awesome Future Concrete;Ebert;Games;web;false;2021-05-14;2021-05-15;false;true
6;encompassing;static 5th Planner;Johnny;ADP;Klein;harness National Pataca;Visionary Central connecting;false;2021-05-15;2021-05-14;false;true
7;generating online;disintermediate;Reynold;Health orange;Vandervort;Kuwaiti Intelligent application;full-range robust;false;2021-05-14;2021-05-14;true;true
8;dedicated;Mississippi extend;Alisha;scale;Murphy;frictionless rich Borders;Small Lead;true;2021-05-14;2021-05-14;false;true
9;system Clothing;open-source task-force Associate;Nelle;demand-driven Alley red;Bartell;Legacy;pink;false;2021-05-14;2021-05-14;true;true
10;relationships Dakota Liaison;Avon Customer-focused;Gaylord;Swedish neural FTP;Considine;leading-edge;Steel Liechtenstein generating;true;2021-05-14;2021-05-14;false;false
