id;email;type;email_newsletter_subscription;email_event_notification_subscription
1;Petra4@gmail.com;Car transmitting Metal;YES;EMPTY
2;Dario37@yahoo.com;index;YES;YES
3;Brook_Marquardt@yahoo.com;Pizza;YES;EMPTY
4;Jensen60@hotmail.com;Plastic index Licensed;NO;EMPTY
5;Johnson_Tremblay@gmail.com;solid;NO;NO
6;Isaias_DuBuque@gmail.com;Savings;EMPTY;NO
7;Hailie_Paucek@hotmail.com;base Executive Mali;YES;YES
8;Neal.Goyette@yahoo.com;transmitter;YES;YES
9;Leonor86@yahoo.com;Shoes wireless calculating;YES;EMPTY
10;Ericka_Hudson75@yahoo.com;Account;YES;EMPTY
